Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
LEGO Star Wars: The Video Game,PS2,2005,0,Eidos Interactive,1.98,1.14,0.01,0.41,3.53,,,,,,
Rugrats in Paris: The Movie,PS,2000,0,THQ,1.96,1.33,0,0.23,3.52,,,,,,
Assassin's Creed: Unity,XOne,2014,0,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M
Kung Fu,NES,1985,0,Nintendo,1.64,0.38,1.42,0.06,3.5,,,,,,
Resident Evil 5,X360,2009,0,Capcom,2.11,0.93,0.12,0.34,3.5,83,91,7.5,523,Capcom,M
Assassin's Creed: Brotherhood,X360,2010,0,Ubisoft,2.85,0.38,0.03,0.24,3.49,89,81,8.3,693,Ubisoft Montreal,M
Batman: Arkham Asylum,X360,2009,0,Eidos Interactive,2.2,0.95,0.02,0.31,3.48,92,78,8.7,1080,Rocksteady Studios,T
Grand Theft Auto 2,PS,1998,0,Take-Two Interactive,1.13,2.07,0,0.22,3.42,70,15,8,67,DMA Design,T
Metal Gear Solid V: The Phantom Pain,PS4,2015,0,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M
Spider-Man 2,PS2,2004,0,Activision,1.75,1.2,0.02,0.43,3.41,80,50,8.9,106,Treyarch,T
Assassin's Creed Syndicate,PS4,2015,0,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M
LEGO Batman: The Videogame,X360,2008,0,Warner Bros. Interactive Entertainment,2.04,1.02,0,0.32,3.38,76,49,7.9,75,Traveller's Tales,E10+
The Legend of Zelda: Majora's Mask,N64,2000,0,Nintendo,1.9,0.67,0.73,0.06,3.36,,,,,,
Monster Hunter X,3DS,2015,0,Capcom,0.27,0.21,2.79,0.05,3.32,,,,,,
Star Wars Episode III: Revenge of the Sith,PS2,2005,0,LucasArts,1.47,1.39,0.03,0.43,3.32,60,34,7.2,82,Double Helix Games,T
The Legend of Zelda: Spirit Tracks,DS,2009,0,Nintendo,1.4,0.91,0.74,0.26,3.31,87,75,7.8,228,Nintendo,E10+
Assassin's Creed IV: Black Flag,X360,2013,0,Ubisoft,1.9,1.11,0.01,0.29,3.3,86,35,7.9,701,Ubisoft,M
The Lord of the Rings: The Return of the King,PS2,2003,0,Electronic Arts,1.5,1.28,0.05,0.46,3.28,85,31,8.7,105,EA Games,T
True Crime: Streets of LA,PS2,2003,0,Activision,1.89,1.05,0.02,0.31,3.27,77,39,8,94,"Luxoflux, Inc.",M
God of War: Chains of Olympus,PSP,2008,0,Sony Computer Entertainment,1.48,1,0.04,0.66,3.18,91,79,8.6,565,Ready at Dawn,M
Enter the Matrix,PS2,2003,0,Atari,1.78,1.12,0.09,0.19,3.18,62,30,8.1,137,Shiny Entertainment,T
Spider-Man,PS,2000,0,Activision,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment,E
The Legend of Zelda: A Link Between Worlds,3DS,2013,0,Nintendo,1.4,1.01,0.46,0.23,3.1,91,81,8.9,1057,Nintendo,E
LEGO Batman: The Videogame,Wii,N/A,0,Warner Bros. Interactive Entertainment,1.8,0.97,0,0.29,3.06,74,17,7.9,22,Traveller's Tales,E10+
LEGO Batman: The Videogame,DS,2008,0,Warner Bros. Interactive Entertainment,1.75,1.01,0,0.29,3.05,72,16,8,16,TT Fusion,E10+
Kung Fu Panda,X360,2008,0,Activision,1.91,0.84,0,0.29,3.04,75,42,7.4,32,"Luxoflux, Inc.",E10+
Saints Row 2,X360,2008,0,THQ,1.94,0.79,0.02,0.28,3.03,81,75,8.1,307,Volition Inc.,M
Tom Clancy's Splinter Cell,XB,2002,0,Ubisoft,1.85,1.04,0,0.13,3.02,93,46,8.5,121,Ubisoft Montreal,T
Devil May Cry,PS2,2001,0,Capcom,1.36,0.86,0.64,0.13,2.99,94,37,8.5,466,Capcom,M
Middle-Earth: Shadow of Mordor,PS4,2014,0,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84,85,8.1,1886,Monolith Productions,M
Hitman 2: Silent Assassin,PS2,2002,0,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,85,19,7.8,78,Io Interactive,M
inFAMOUS,PS3,2009,0,Sony Computer Entertainment,1.76,0.68,0.12,0.37,2.93,85,98,8.3,1172,Sucker Punch,T
Assassin's Creed IV: Black Flag,PS4,2013,0,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1530,Ubisoft,M
Assassin's Creed: Brotherhood,PS3,2010,0,Ubisoft,1.87,0.55,0.11,0.29,2.82,90,59,8.2,791,Ubisoft Montreal,M
Finding Nemo,GBA,2003,0,THQ,1.59,1.05,0.04,0.14,2.82,,,7,8,Vicarious Visions,E
inFAMOUS: Second Son,PS4,2014,0,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80,90,7.9,2944,Sucker Punch,T
Skylanders: Spyro's Adventure,Wii,2011,0,Activision,1.35,1.13,0,0.3,2.78,81,11,5.6,31,Toys for Bob,E10+
Star Wars: The Force Unleashed,X360,2008,0,LucasArts,1.74,0.77,0,0.26,2.77,73,74,6.7,389,LucasArts,T
Saints Row: The Third,X360,2011,0,THQ,1.25,1.14,0.07,0.3,2.76,84,70,7.6,490,Volition Inc.,M
Metroid,NES,1986,0,Nintendo,1.33,0.31,1.04,0.05,2.73,,,,,,
The Legend of Zelda: A Link to the Past,GBA,2002,0,Nintendo,1.75,0.52,0.33,0.1,2.7,95,30,9.1,314,Capcom,E
Onimusha: Warlords,PS2,2001,0,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,86,23,8.2,56,Capcom,M
LEGO Star Wars II: The Original Trilogy,PS2,2006,0,LucasArts,1.85,0.64,0.01,0.19,2.69,84,32,9,41,Traveller's Tales,E10+
Hannah Montana,DS,2006,0,Disney Interactive Studios,1.59,0.8,0,0.26,2.65,,,6.7,10,DC Studios,E
Tom Clancy's Splinter Cell,PS2,2003,0,Ubisoft,1.15,1.11,0,0.4,2.65,89,24,7.7,102,Ubisoft Shanghai,T
Star Wars: Shadows of the Empire,N64,1996,0,Nintendo,2,0.5,0.12,0.03,2.65,,,,,,
Harry Potter and the Chamber of Secrets,PS2,2002,0,Electronic Arts,0.9,1.22,0.04,0.44,2.61,71,16,7.6,49,Electronic Arts,E
Streets of Rage,GEN,1990,0,Sega,1.86,0.55,0.11,0.08,2.6,,,,,,
God of War Collection,PS3,2009,0,Sony Computer Entertainment,1.7,0.44,0.06,0.4,2.6,91,50,8.7,529,Bluepoint Games,M
LEGO Star Wars: The Complete Saga,X360,2007,0,LucasArts,1.53,0.81,0,0.24,2.57,80,24,7.4,114,Traveller's Tales,E10+
Ghostbusters: The Video Game (DS Version),X360,2009,0,Take-Two Interactive,1.04,1.22,0.03,0.27,2.56,,,,,,
Perfect Dark,N64,2000,0,Nintendo,1.55,0.75,0.16,0.06,2.52,,,,,,
Skylanders Giants,Wii,2012,0,Activision,1.48,0.83,0,0.21,2.52,78,8,7,20,Toys for Bob,E10+
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,0,Take-Two Interactive,1.84,0.56,0,0.09,2.49,,,,,,
Bloodborne,PS4,2015,0,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92,100,8.6,6383,From Software,M
Tomb Raider: The Last Revelation,PS,1998,0,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,,,,,,
Saints Row: The Third,PS3,2011,0,THQ,0.86,1.04,0.18,0.38,2.47,82,50,7.7,384,Volition Inc.,M
LEGO Harry Potter: Years 1-4,Wii,2010,0,Warner Bros. Interactive Entertainment,1.28,0.93,0,0.22,2.43,79,13,8,34,Traveller's Tales,E10+
Tomb Raider (2013),PS3,2013,0,Square Enix,0.6,1.26,0.08,0.48,2.42,,,,,,
Dino Crisis,PS,1998,0,Capcom,0.81,0.76,0.7,0.14,2.41,,,,,,
Dead Island,X360,2011,0,Deep Silver,1.48,0.69,0,0.2,2.37,71,75,6.9,627,Techland,M
The Incredibles,PS2,2004,0,THQ,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22,Heavy Iron Studios,T
The Legend of Zelda: Majora's Mask 3D,3DS,2015,0,Nintendo,1.15,0.55,0.47,0.17,2.34,89,82,9,478,GREZZO,E10+
LEGO Indiana Jones: The Original Adventures,Wii,N/A,0,LucasArts,1.51,0.61,0,0.21,2.34,78,22,6.6,28,Traveller's Tales,E10+
Resident Evil - Code: Veronica X,PS2,2001,0,Capcom,1.08,0.7,0.34,0.21,2.34,84,21,8.4,189,Capcom,M
Grand Theft Auto,PS,1997,0,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,,,,,,
Guild Wars 2,PC,2012,0,NCSoft,0.96,1.07,0,0.27,2.31,90,69,7.9,2954,ArenaNet,T
Batman: Arkham Origins,PS3,2013,0,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76,46,7.7,668,WB Games Montreal,T
Tomb Raider II,PC,1997,0,Eidos Interactive,0.91,1.25,0,0.13,2.29,,,8.3,37,Core Design Ltd.,
Yokai Watch Busters,3DS,2015,0,Level 5,0,0,2.29,0,2.29,,,,,,
LEGO Star Wars: The Complete Saga,PS3,2007,0,LucasArts,1.02,0.9,0,0.36,2.29,80,18,6.7,87,Traveller's Tales,E10+
LEGO Harry Potter: Years 1-4,DS,2010,0,Warner Bros. Interactive Entertainment,1.07,0.99,0,0.22,2.28,72,7,7.2,6,TT Fusion,E10+
Dead Island,PS3,2011,0,Deep Silver,1.08,0.73,0.15,0.31,2.27,71,41,6.6,405,Techland,M
Far Cry: Primal,PS4,2016,0,Ubisoft,0.6,1.25,0.06,0.35,2.26,76,91,6.3,635,Ubisoft Montreal,M
God of War: Ascension,PS3,2013,0,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80,89,7.5,914,SCE Santa Monica,M
Assassin's Creed IV: Black Flag,XOne,2013,0,Ubisoft,1.48,0.55,0,0.21,2.23,,,7.4,355,Ubisoft,M
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,0,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,,,,,,
Prince of Persia: The Sands of Time,PS2,2003,0,Ubisoft,0.88,1.03,0,0.31,2.22,92,44,8.8,204,Ubisoft,T
LEGO Marvel Super Heroes,X360,2013,0,Warner Bros. Interactive Entertainment,1.24,0.79,0,0.19,2.22,80,37,7.6,127,TT Games,E10+
Resident Evil 4,Wii,2007,0,Capcom,1.32,0.56,0.14,0.2,2.22,,,,,,
Star Wars: The Force Unleashed,PS3,2008,0,LucasArts,1.01,0.85,0,0.35,2.21,71,47,6.6,233,LucasArts,T
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,0,Capcom,1.06,0.82,0.05,0.28,2.21,,,,,,
Frogger,2600,1981,0,Parker Bros.,2.06,0.12,0,0.02,2.2,,,,,,
LEGO Indiana Jones: The Original Adventures,DS,2008,0,Activision,1.4,0.59,0,0.2,2.2,80,15,7.9,16,TT Fusion,E
Pro Evolution Soccer 2012,PS3,2011,0,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80,41,6.6,132,Konami,E
Saints Row,X360,2006,0,THQ,1.17,0.77,0.02,0.22,2.18,81,74,7.5,211,Volition Inc.,M
Hitman: Absolution,PS3,2012,0,Square Enix,0.59,1.05,0.07,0.44,2.14,83,30,7.5,511,Io Interactive,M
Dynasty Warriors 4,PS2,2003,0,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78,24,9.3,201,Omega Force,T
Project Gotham Racing (JP weekly sales),XB,2002,0,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,,,,,,
Devil May Cry 3: Dante's Awakening,PS2,2005,0,Capcom,0.99,0.63,0.29,0.19,2.09,84,60,9,212,Capcom,M
NBA 2K11,X360,2010,0,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,89,50,8.1,100,Visual Concepts,E
Finding Nemo,PS2,2003,0,THQ,1.26,0.6,0.05,0.18,2.09,,,,,,
Dying Light,PS4,2015,0,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74,58,7.9,1287,Techland,M
Dead Rising,X360,2006,0,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,520,Capcom,M
Metal Gear Solid: Peace Walker,PSP,2010,0,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,89,66,8.9,443,Kojima Productions,T
The Incredibles,GBA,2004,0,THQ,1.15,0.77,0.04,0.1,2.06,55,13,tbd,,Helixe,E
Tom Clancy's Splinter Cell: Conviction,X360,2010,0,Ubisoft,1.2,0.62,0.04,0.19,2.06,,,,,,
Ghostbusters: The Video Game (DS Version),PS3,2010,0,Take-Two Interactive,0.6,0.96,0.13,0.36,2.05,,,,,,
Toy Story 3: The Video Game,DS,2010,0,Disney Interactive Studios,0.89,0.94,0.02,0.21,2.05,,,,,,
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,0,Ubisoft,0.71,1.02,0,0.31,2.04,82,41,8.2,68,Ubisoft Montpellier,T
Need for Speed: The Run,PS3,2011,0,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64,48,6.4,182,Black Box,T
Dead Space,PS3,2008,0,Electronic Arts,1.05,0.66,0,0.29,2,88,67,8.8,545,EA Redwood Shores,M
Tenchu: Stealth Assassins,PS,1997,0,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,45,Acquire,M
Harry Potter and the Chamber of Secrets,GBA,2002,0,Electronic Arts,1.21,0.64,0.05,0.09,1.99,76,11,7.9,14,Eurocom Entertainment Software,E
Harry Potter and the Chamber of Secrets,PS,2002,0,Electronic Arts,0.75,1.09,0.02,0.12,1.98,,,8.5,33,Argonaut Games,E
Devil May Cry 2,PS2,2003,0,Capcom,0.71,0.58,0.51,0.17,1.97,68,40,6.6,167,Capcom,M
E.T.: The Extra Terrestrial,2600,1981,0,Atari,1.84,0.11,0,0.02,1.97,,,,,,
Grand Theft Auto: San Andreas,XB,2005,0,Take-Two Interactive,1.26,0.61,0,0.09,1.95,93,58,8.6,118,Rockstar North,AO
The Legend of Zelda: Oracle of Ages,GB,2001,0,Nintendo,0.92,0.53,0.41,0.06,1.92,,,,,,
Tomb Raider (2013),X360,2013,0,Square Enix,0.86,0.84,0.01,0.17,1.89,,,,,,
Batman: Arkham Origins,X360,2013,0,Warner Bros. Interactive Entertainment,1.15,0.56,0,0.17,1.88,74,46,7.5,685,WB Games Montreal,T
Dynasty Warriors 3,PS2,2001,0,THQ,0.53,0.16,1.07,0.1,1.87,78,17,9.1,90,Omega Force,T
Star Wars: The Force Unleashed,Wii,2008,0,LucasArts,1.11,0.56,0,0.18,1.86,71,18,7.9,75,Krome Studios,T
Just Cause 3,PS4,2015,0,Square Enix,0.47,1.03,0.07,0.28,1.86,73,42,6.5,403,Avalanche Studios,M
Pinball,NES,1984,0,Nintendo,0.8,0.19,0.83,0.03,1.85,,,,,,
LEGO Marvel Super Heroes,PS3,2013,0,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82,22,7.9,76,TT Games,E10+
Phineas and Ferb,DS,2009,0,Disney Interactive Studios,1.32,0.37,0,0.15,1.84,80,4,4.5,8,Altron,E
GoldenEye 007 (2010),Wii,2010,0,Activision,0.84,0.7,0.13,0.16,1.83,,,,,,
inFAMOUS 2,PS3,2011,0,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83,90,8.4,932,Sucker Punch,T
Mafia III,PS4,2016,0,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68,66,5.1,1147,Hangar 13,M
NBA 2K11,PS3,2010,0,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89,46,7.6,105,Visual Concepts,E
The Evil Within,PS4,2014,0,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75,65,7.3,1223,Tango Gameworks,M
The Legend of Zelda: The Wind Waker,WiiU,2013,0,Nintendo,0.92,0.6,0.14,0.14,1.79,,,,,,
SpongeBob SquarePants: SuperSponge,PS,2001,0,THQ,1.12,0.58,0,0.08,1.78,,,,,,
The Getaway: Black Monday,PS2,2004,0,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,57,53,7.6,47,SCEE London Studio,M
50 Cent: Bulletproof,PS2,2005,0,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,Genuine Games,M
LEGO Star Wars III: The Clone Wars,Wii,2011,0,LucasArts,1.01,0.6,0,0.15,1.76,76,7,7.7,10,Traveller's Tales,E10+
State of Emergency,PS2,2002,0,Take-Two Interactive,0.86,0.67,0,0.22,1.76,71,34,5.7,33,VIS Entertainment,M
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,0,THQ,1.26,0.47,0,0.03,1.76,,,,,,
Just Cause 2,PS3,2010,0,Square Enix,0.45,0.92,0.06,0.32,1.75,83,66,8,291,Avalanche Studios,M
Watch Dogs,PS3,2014,0,Ubisoft,0.56,0.81,0.1,0.27,1.74,,,5.1,383,Ubisoft Montreal,M
Kinect Star Wars,X360,2012,0,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55,61,3.5,145,Terminal Reality,T
